,A_SOURCE,A_ID,A_MUNI,A_YEAR,A_CRASH_DATE,A_SEVERITY,A_CRASH_TIME,A_POLICE,A_CYCLIST,A_PEDESTRIAN,A_OTHER,A_LAT,A_LON,A_INTERSTATE,A_datetime,B_SOURCE,B_ID,B_MUNI,B_YEAR,B_CRASH_DATE,B_SEVERITY,B_CRASH_TIME,B_POLICE,B_CYCLIST,B_PEDESTRIAN,B_OTHER,B_LAT,B_LON,B_INTERSTATE,B_datetime,distance_m,time_diff_sec,confidence
60,SomervillePD,22010191,SOMERVILLE,2022,2022-02-27,0,13:12:00,,0,0,0.0,42.3972,-71.1049,,2022-02-27 13:12:00,MassDOT,5081402,SOMERVILLE,2022,2022-02-27,0,13:12:00,Local,0,0,0.0,42.39752394,-71.10491306,0,2022-02-27 13:12:00,35.97327330175788,0.0,0.7481870868876948
61,SomervillePD,22010542,SOMERVILLE,2022,2022-03-01,0,09:37:00,,0,0,0.0,42.3954,-71.1064,,2022-03-01 09:37:00,MassDOT,5093216,SOMERVILLE,2022,2022-03-01,0,09:37:00,Local,0,0,0.0,42.39535651,-71.10649363,0,2022-03-01 09:37:00,9.067170202173733,0.0,0.9365298085847837
62,SomervillePD,22010873,SOMERVILLE,2022,2022-03-02,0,18:07:00,,0,0,0.0,42.3822,-71.091,,2022-03-02 18:07:00,MassDOT,5093208,SOMERVILLE,2022,2022-03-02,0,18:07:00,Local,0,0,0.0,42.38276188,-71.09110839,0,2022-03-02 18:07:00,62.9986715643795,0.0,0.5590092990493434
63,SomervillePD,22011192,SOMERVILLE,2022,2022-03-04,2,08:13:00,,0,0,0.0,42.3861,-71.1138,,2022-03-04 08:13:00,MassDOT,5093207,SOMERVILLE,2022,2022-03-04,2,08:13:00,Local,0,0,0.0,42.3861266,-71.11383199,0,2022-03-04 08:13:00,3.949264215218374,0.0,0.9723551504934713
64,MassDOT,5093200,SOMERVILLE,2022,2022-03-04,0,10:47:00,Local,0,0,0.0,42.39661921,-71.10382963,0,2022-03-04 10:47:00,SomervillePD,22011231,SOMERVILLE,2022,2022-03-04,0,10:47:00,,0,0,0.0,42.3965,-71.104,,2022-03-04 10:47:00,19.238911803255483,0.0,0.8653276173772115
65,SomervillePD,22011245,SOMERVILLE,2022,2022-03-04,0,11:25:00,,0,0,0.0,42.3868,-71.117,,2022-03-04 11:25:00,MassDOT,5093209,SOMERVILLE,2022,2022-03-04,0,11:25:00,Local,0,0,0.0,42.38669028,-71.11695345,0,2022-03-04 11:25:00,12.762887343451277,0.0,0.910659788595841
66,MassDOT,5093213,SOMERVILLE,2022,2022-03-05,0,22:08:00,Local,0,0,0.0,42.38815734,-71.08495184,0,2022-03-05 22:08:00,SomervillePD,22011554,SOMERVILLE,2022,2022-03-05,0,22:08:00,,0,0,0.0,42.3881,-71.085,,2022-03-05 22:08:00,7.489952132999167,0.0,0.9475703350690057
67,SomervillePD,22011620,SOMERVILLE,2022,2022-03-06,2,08:13:00,,0,1,0.0,42.3957,-71.1205,,2022-03-06 08:13:00,MassDOT,5093206,SOMERVILLE,2022,2022-03-06,2,08:13:00,Local,0,1,0.0,42.3956945,-71.12047373,0,2022-03-06 08:13:00,2.2383264507449265,0.0,0.9843317148447854
68,BostonVisionZero,18264,BOSTON,2022,2022-03-06,,16:35:24,,0,0,,42.30014448398101,-71.04967027617751,,2022-03-06 16:35:24,MassDOT,5077838,BOSTON,2022,2022-03-06,0,17:03:00,State,0,0,0.0,42.30062503,-71.04914679,0,2022-03-06 17:03:00,68.50033794640039,1656.0,0.38249763437519724
69,MassDOT,5093229,SOMERVILLE,2022,2022-03-07,0,08:21:00,Local,0,0,0.0,42.38683621,-71.09872423,0,2022-03-07 08:21:00,SomervillePD,22011828,SOMERVILLE,2022,2022-03-07,0,08:21:00,,0,0,0.0,42.3868,-71.0987,,2022-03-07 08:21:00,4.483424178719609,0.0,0.9686160307489626
70,SomervillePD,22011834,SOMERVILLE,2022,2022-03-07,0,08:47:00,,0,0,0.0,42.3936,-71.0825,,2022-03-07 08:47:00,MassDOT,5093225,SOMERVILLE,2022,2022-03-07,0,08:47:00,Local,0,0,0.0,42.39374296,-71.08335541,0,2022-03-07 08:47:00,71.89692124079593,0.0,0.49672155131442847
71,MassDOT,5093204,SOMERVILLE,2022,2022-03-07,2,15:36:00,Local,0,1,0.0,42.39255687,-71.09341686,0,2022-03-07 15:36:00,SomervillePD,22011910,SOMERVILLE,2022,2022-03-07,2,15:36:00,,0,1,0.0,42.3927,-71.0933,,2022-03-07 15:36:00,18.552262678921075,0.0,0.8701341612475524
72,MassDOT,5093217,SOMERVILLE,2022,2022-03-07,2,20:04:00,Local,0,1,0.0,42.3948776,-71.12479778,0,2022-03-07 20:04:00,SomervillePD,22011953,SOMERVILLE,2022,2022-03-07,2,20:04:00,,0,1,0.0,42.3949,-71.1248,,2022-03-07 20:04:00,2.4930510437427573,0.0,0.9825486426938006
73,MassDOT,5093227,SOMERVILLE,2022,2022-03-09,0,13:25:00,Local,0,0,0.0,42.38111259,-71.08709746,0,2022-03-09 13:25:00,SomervillePD,22012381,SOMERVILLE,2022,2022-03-09,0,13:25:00,,0,0,0.0,42.3811,-71.087,,2022-03-09 13:25:00,8.11233584035302,0.0,0.9432136491175287
